streetAddress,suburb,postcode,bedrooms,price
9 Barunah Court,Narre Warren,3805,3,"$670,000 "
33 Bedingham Drive,Hillside,3037,3,"$668,000 "
25 Challambra Crescent,Highton,3216,3,"$660,000 "
111 Golden Grove Drive,Narre Warren South,3805,4,"$650,000 "
94 O'Hallorans Road,Lara,3212,4,"$650,000 "
6 The Rise,Somerville,3912,3,"$645,000 "
32 Trevally Drive,Ocean Grove,3226,4,"$645,000 "
182 Greenvale Drive,Greenvale,3059,4,"$645,000 "
6 Kingswood Crescent,Noble Park North,3174,3,"$640,000 "
39 Kenny Street,Westmeadows,3049,4,"$640,000 "
6 Whipstaff Lane,Safety Beach,3936,4,"$640,000 "
5 Calendula Circuit,Epping,3076,4,"$637,000 "
5 First Avenue,Dandenong North,3175,3,"$636,000 "
66 Cary Street,Sunshine North,3020,4,"$635,000 "
7 Underhill Court,Sunbury,3429,3,"$630,000 "
8 Macaulay Drive,Craigieburn,3064,4,"$625,000 "
7 Kerrie Court,Grovedale,3216,5,"$623,000 "
21 Picnic Avenue,Clyde North,3978,4,"$618,000 "
1708/22 Dorcas Street,Southbank,3006,2,"$610,000 "
18 Bendigo Street,Geelong West,3218,3,"$605,000 "
1/27 Kenilworth Street,Reservoir,3073,2,"$600,000 "
15 Sun Crescent,Sunshine,3020,1,"$595,000 "
14 Fleetwood Court,Gladstone Park,3043,3,"$593,000 "
28 Ferris Avenue,Deer Park,3023,4,"$587,500 "
7 Robinia Court,Harkness,3337,3,"$580,000 "
23 Kinglake Drive,Manor Lakes,3024,4,"$575,000 "
15 Raine Court,Delahey,3037,4,"$575,000 "
20 Westmoreland Avenue,Cranbourne North,3977,4,"$570,000 "
10B Lucas Court,Narre Warren South,3805,3,"$565,000 "
13 Angove Dr,Tarneit,3029,3,"$565,000 "
17 Lupin Street,Mernda,3754,3,"$563,000 "
4 Tahara Street,Hamlyn Heights,3215,3,"$555,000 "
45 Coulthard Crescent,Doreen,3754,4,"$555,000 "
